before_id,after_id,iou,status,area_before_px,area_after_px,pct_change,semantic_change,before_exg,after_exg,before_g_r,after_g_r
91,87.0,0.22181105613708496,possible_change,1769,4095,1.3148671565856416,VEGETATION -> VEGETATION,74.40192413330078,55.16679000854492,34.72018051147461,16.743345260620117
92,139.0,0.019607843831181526,weak_match,68,10,-0.8529411764705882,BARE_SOIL -> VEGETATION,14.691176414489746,38.400001525878906,-13.338234901428223,2.9000000953674316
93,25.0,0.10566388070583344,weak_match,1565,10784,5.89073482428115,BARE_SOIL -> BARE_SOIL,6.872204303741455,-2.1977930068969727,-33.411502838134766,-49.14030075073242
94,97.0,0.6290849447250366,matched_same,1110,1043,-0.06036036036036036,BARE_SOIL -> VEGETATION,11.663063049316406,83.72100067138672,-28.979278564453125,33.3020133972168
95,15.0,0.8599706888198853,matched_same,1295,1347,0.040154440154440155,VEGETATION -> VEGETATION,41.74748992919922,89.00445556640625,11.558300971984863,48.43503952026367
96,57.0,0.46858730912208557,possible_change,1907,2577,0.3513371788148925,BARE_SOIL -> VEGETATION,13.082852363586426,44.2755126953125,-28.201887130737305,-5.8734965324401855
97,129.0,0.3093624413013458,possible_change,15147,6335,-0.5817653660790916,VEGETATION -> VEGETATION,70.88697052001953,52.301025390625,33.491912841796875,14.700552940368652
98,19.0,0.7580945491790771,matched_same,2390,2599,0.08744769874476988,BARE_SOIL -> BARE_SOIL,-2.2435145378112793,5.994997978210449,-44.41255187988281,-26.883031845092773
100,130.0,0.0,weak_match,14,507,35.214285714285715,VEGETATION -> VEGETATION,36.14285659790039,55.053253173828125,3.142857074737549,15.394476890563965
101,46.0,0.0,weak_match,979,6,-0.9938712972420838,BARE_SOIL -> VEGETATION,18.276813507080078,52.33333206176758,-21.713993072509766,9.833333015441895
102,132.0,0.0,weak_match,4,6,0.5,VEGETATION -> VEGETATION,39.0,39.33333206176758,7.0,-5.0
103,102.0,0.0,weak_match,7986,4,-0.9994991234660656,VEGETATION -> VEGETATION,70.68269348144531,37.75,32.347984313964844,4.25
104,55.0,0.503248393535614,matched_same,1176,2039,0.733843537414966,BARE_SOIL -> VEGETATION,3.0382652282714844,81.25846099853516,-37.85118865966797,34.645416259765625
105,120.0,0.26588234305381775,possible_change,5543,1739,-0.6862709723976186,VEGETATION -> VEGETATION,81.02651977539062,51.43243408203125,38.65812683105469,14.4652099609375
106,136.0,0.0,weak_match,4,1424,355.0,VEGETATION -> VEGETATION,34.25,51.40449523925781,-4.25,17.021066665649414
107,167.0,0.29487180709838867,possible_change,2855,921,-0.6774080560420315,VEGETATION -> VEGETATION,80.5607681274414,66.2247543334961,36.27495574951172,33.19869613647461
108,138.0,0.0,weak_match,770,143,-0.8142857142857143,VEGETATION -> VEGETATION,84.02337646484375,26.622377395629883,38.631168365478516,-18.832168579101562
109,127.0,0.0,weak_match,120,4,-0.9666666666666667,BARE_SOIL -> VEGETATION,19.65833282470703,35.5,3.200000047683716,-10.25
110,81.0,0.44225403666496277,possible_change,16063,8788,-0.4529041897528482,VEGETATION -> VEGETATION,67.22847747802734,63.21665954589844,30.34022331237793,30.314178466796875
112,111.0,0.0,weak_match,2231,3494,0.5661138502913492,BARE_SOIL -> VEGETATION,6.268041133880615,30.79793930053711,-33.66786193847656,-2.3016600608825684
113,142.0,0.0,weak_match,1250,94,-0.9248,VEGETATION -> VEGETATION,74.55840301513672,52.946807861328125,34.99039840698242,14.478723526000977
115,16.0,0.4454725682735443,possible_change,4099,2769,-0.3244693827762869,VEGETATION -> BARE_SOIL,35.126373291015625,17.51209831237793,-0.8780190348625183,-28.49620819091797
116,144.0,0.0,weak_match,10,56,4.6,VEGETATION -> VEGETATION,37.79999923706055,66.51786041259766,-2.9000000953674316,19.589284896850586
117,147.0,0.0,weak_match,4,4,0.0,VEGETATION -> VEGETATION,28.5,62.5,-8.5,17.0
118,150.0,0.0,weak_match,332,232,-0.30120481927710846,VEGETATION -> VEGETATION,46.177711486816406,93.2198257446289,10.861445426940918,51.155174255371094
119,4.0,0.44270986318588257,possible_change,1623,3522,1.1700554528650646,BARE_SOIL -> BARE_SOIL,-5.632778644561768,13.523566246032715,-53.68638229370117,-37.139408111572266
120,151.0,0.0,weak_match,10,8,-0.2,VEGETATION -> VEGETATION,21.399999618530273,96.25,-18.899999618530273,42.25
121,152.0,0.0,weak_match,20,176,7.8,VEGETATION -> VEGETATION,28.799999237060547,61.77840805053711,-10.649999618530273,22.375
122,63.0,0.6691918969154358,matched_same,1224,911,-0.255718954248366,BARE_SOIL -> BARE_SOIL,-0.05964052304625511,-0.11306256800889969,-36.75571823120117,-37.045005798339844
123,131.0,0.0,weak_match,1508,229,-0.8481432360742706,VEGETATION -> VEGETATION,60.631961822509766,73.8034896850586,25.30172348022461,31.410480499267578
124,143.0,0.38717949390411377,possible_change,368,854,1.3206521739130435,BARE_SOIL -> VEGETATION,0.6521739363670349,36.8302116394043,-38.942935943603516,-7.262295246124268
125,85.0,0.0,weak_match,125,139,0.112,VEGETATION -> VEGETATION,37.52000045776367,74.38129425048828,19.871999740600586,35.719425201416016
126,78.0,0.0,weak_match,102,1396,12.686274509803921,VEGETATION -> VEGETATION,32.66666793823242,51.06160354614258,-2.058823585510254,8.858165740966797
127,76.0,0.7232088446617126,matched_same,1654,1347,-0.18561064087061668,BARE_SOIL -> VEGETATION,15.738210678100586,30.36822509765625,-23.336759567260742,-17.106904983520508
128,156.0,0.0,weak_match,4,4,0.0,VEGETATION -> VEGETATION,26.5,43.25,-9.5,10.5
129,157.0,0.0,weak_match,339,1590,3.690265486725664,VEGETATION -> VEGETATION,28.091445922851562,39.36981201171875,-10.306784629821777,5.094968318939209
131,158.0,0.0,weak_match,92,509,4.532608695652174,BARE_SOIL -> VEGETATION,9.967391014099121,62.438114166259766,-7.043478488922119,24.76620864868164
132,160.0,0.0,weak_match,287,194,-0.3240418118466899,VEGETATION -> VEGETATION,67.18118286132812,68.8144302368164,24.121952056884766,30.94329833984375
133,161.0,0.0,weak_match,124,114,-0.08064516129032258,BARE_SOIL -> VEGETATION,12.822580337524414,56.55263137817383,-8.935483932495117,21.201753616333008
134,162.0,0.0,weak_match,114,1989,16.44736842105263,VEGETATION -> VEGETATION,42.23684310913086,63.216190338134766,7.40350866317749,23.953744888305664
136,155.0,0.0,weak_match,537,1951,2.633147113594041,BARE_SOIL -> VEGETATION,19.19180679321289,45.8554573059082,-19.404096603393555,11.473603248596191
137,148.0,0.40707963705062866,possible_change,96,106,0.10416666666666667,VEGETATION -> VEGETATION,24.98958396911621,21.471698760986328,9.989583015441895,5.037735939025879
138,164.0,0.0,weak_match,126,20,-0.8412698412698413,VEGETATION -> VEGETATION,33.25396728515625,57.95000076293945,14.857142448425293,25.899999618530273
139,166.0,0.0,weak_match,145,1208,7.3310344827586205,VEGETATION -> VEGETATION,27.613792419433594,67.20695495605469,21.13103485107422,33.005794525146484
140,137.0,0.0,weak_match,174,764,3.3908045977011496,VEGETATION -> VEGETATION,25.005746841430664,66.96466064453125,8.954023361206055,20.25
141,77.0,0.0,weak_match,134,4,-0.9701492537313433,BARE_SOIL -> VEGETATION,8.798507690429688,78.5,-19.149253845214844,37.0
142,169.0,0.0,weak_match,4,2043,509.75,VEGETATION -> VEGETATION,59.75,79.34752655029297,22.0,42.00831985473633
143,170.0,0.0,weak_match,449,117,-0.7394209354120267,BARE_SOIL -> VEGETATION,14.276168823242188,27.495725631713867,-17.420934677124023,4.6581196784973145
144,82.0,0.0,weak_match,201,752,2.7412935323383083,VEGETATION -> VEGETATION,38.4676628112793,57.67686080932617,5.119402885437012,22.62234115600586
145,52.0,0.021232105791568756,weak_match,160,6397,38.98125,VEGETATION -> VEGETATION,30.456249237060547,77.00202941894531,6.193749904632568,40.90386199951172
146,172.0,0.0,weak_match,1010,708,-0.299009900990099,VEGETATION -> VEGETATION,27.819801330566406,89.69068145751953,-11.811881065368652,45.043785095214844
148,173.0,0.0,weak_match,120,4,-0.9666666666666667,BARE_SOIL -> VEGETATION,11.541666984558105,37.5,-9.625,1.75
149,59.0,0.49633026123046875,possible_change,1167,2290,0.9622964867180805,VEGETATION -> VEGETATION,31.682947158813477,47.52576446533203,-8.436161041259766,8.221834182739258
150,117.0,0.45207956433296204,possible_change,602,301,-0.5,BARE_SOIL -> VEGETATION,14.95681095123291,26.52823829650879,0.3289036452770233,3.392026662826538
151,67.0,0.020538244396448135,weak_match,1356,210,-0.8451327433628318,BARE_SOIL -> BARE_SOIL,-4.098082542419434,-4.666666507720947,-48.512535095214844,-40.81428527832031
152,175.0,0.0,weak_match,1082,492,-0.5452865064695009,VEGETATION -> VEGETATION,69.13678741455078,64.2256088256836,30.676525115966797,24.414634704589844
153,72.0,0.3601348102092743,possible_change,918,2098,1.2854030501089324,BARE_SOIL -> VEGETATION,4.144880294799805,65.0791244506836,-33.96841049194336,20.041467666625977
154,99.0,0.3250303864479065,possible_change,2331,2275,-0.024024024024024024,VEGETATION -> VEGETATION,36.98670196533203,31.73978042602539,2.909909963607788,5.570549488067627
155,140.0,0.2597547471523285,possible_change,276,967,2.503623188405797,VEGETATION -> VEGETATION,68.94927215576172,74.27404022216797,31.876811981201172,33.64943313598633
158,159.0,0.13126491010189056,weak_match,97,454,3.6804123711340204,VEGETATION -> VEGETATION,23.525774002075195,27.76431655883789,1.0824742317199707,-3.9140968322753906
